beta,energy,magnet
0.16122,-0.50000,0.23438
0.16122,-0.40625,-0.17188
0.16122,-0.26562,-0.09375
0.16122,-0.45312,-0.01562
0.16122,-0.26562,0.29688
0.16122,-0.48438,0.15625
0.16122,-0.28125,0.17188
0.16122,-0.46875,-0.26562
0.16122,-0.26562,-0.14062
0.16122,-0.43750,-0.20312
0.16122,-0.90625,0.42188
0.16122,-0.28125,0.15625
0.16122,-0.35938,0.18750
0.16122,-0.39062,0.21875
0.16122,-0.35938,0.25000
0.16122,-0.46875,-0.06250
0.16122,-0.35938,-0.18750
0.16122,-0.68750,0.34375
0.16122,-0.54688,-0.09375
0.16122,-0.18750,0.00000
0.16122,-0.32812,-0.10938
0.16122,-0.15625,-0.17188
0.16122,-0.37500,0.07812
0.16122,-0.54688,-0.32812
0.16122,-0.46875,0.17188
0.16122,-0.17188,-0.17188
0.16122,-0.59375,0.23438
0.16122,-0.37500,-0.03125
0.16122,-0.40625,-0.14062
0.16122,-0.26562,-0.10938
0.16122,-0.59375,0.26562
0.16122,-0.45312,0.25000
0.16122,-0.53125,0.18750
0.16122,-0.39062,-0.29688
0.16122,-0.54688,0.25000
0.16122,-0.75000,-0.39062
0.16122,-0.40625,0.21875
0.16122,-0.09375,0.14062
0.16122,-0.50000,0.14062
0.16122,-0.25000,0.23438
0.16122,-0.45312,0.21875
0.16122,-0.32812,-0.18750
0.16122,-0.17188,-0.01562
0.16122,-0.28125,0.14062
0.16122,-0.17188,0.18750
0.16122,-0.34375,-0.09375
0.16122,-0.46875,-0.20312
0.16122,-0.32812,0.20312
0.16122,-0.40625,-0.17188
0.16122,-0.23438,0.14062
0.16122,-0.64062,-0.29688
0.16122,-0.20312,-0.10938
0.16122,-0.12500,0.17188
0.16122,-0.70312,-0.21875
0.17143,-0.29688,-0.06250
0.17143,-0.50000,0.21875
0.17143,-0.48438,-0.12500
0.17143,-0.56250,-0.34375
0.17143,-0.12500,-0.04688
0.17143,-0.50000,0.34375
0.17143,-0.15625,0.00000
0.17143,-0.32812,0.03125
0.17143,-0.34375,-0.04688
0.17143,-0.57812,-0.23438
0.17143,-0.39062,0.15625
0.17143,-0.56250,0.09375
0.17143,-0.40625,-0.12500
0.17143,-0.39062,0.25000
0.17143,-0.48438,-0.28125
0.17143,-0.14062,-0.04688
0.17143,-0.23438,-0.12500
0.17143,-0.14062,-0.03125
0.17143,-0.35938,0.07812
0.17143,-0.37500,-0.15625
0.17143,-0.40625,0.10938
0.17143,-0.56250,-0.14062
0.17143,-0.15625,0.00000
0.17143,-0.51562,0.04688
0.17143,-0.50000,0.17188
0.17143,-0.34375,-0.10938
0.17143,-0.43750,-0.28125
0.17143,-0.31250,-0.07812
0.17143,-0.48438,-0.12500
0.17143,-0.82812,-0.46875
0.17143,-0.31250,0.06250
0.17143,-0.81250,0.48438
0.17143,-0.68750,-0.31250
0.17143,-0.20312,0.04688
0.17143,-0.37500,-0.04688
0.17143,-0.70312,-0.37500
0.17143,-0.48438,0.25000
0.17143,-0.35938,0.15625
0.17143,-0.23438,0.07812
0.17143,-0.18750,-0.15625
0.17143,-0.46875,-0.04688
0.17143,-0.50000,0.26562
0.17143,-0.25000,-0.03125
0.17143,-0.59375,-0.42188
0.17143,-0.43750,0.07812
0.17143,-0.46875,0.07812
0.17143,-0.34375,0.04688
0.17143,-0.51562,-0.23438
0.17143,-0.37500,0.07812
0.17143,-0.09375,-0.04688
0.17143,-0.21875,0.15625
0.17143,-0.28125,0.10938
0.17143,-0.37500,0.32812
0.17143,-0.32812,-0.15625
0.17143,-0.31250,0.21875
0.17143,-0.48438,-0.10938
0.17143,-0.54688,0.25000
0.17143,-0.78125,0.37500
0.17143,-0.31250,0.29688
0.17143,-0.15625,-0.09375
0.17143,-0.42188,0.26562
0.17143,-0.39062,-0.10938
0.17143,-0.43750,-0.18750
0.17143,-0.43750,0.10938
0.17143,-0.39062,-0.07812
0.17143,-0.29688,0.01562
0.17143,-0.37500,0.01562
0.17143,-0.40625,-0.21875
0.17143,-0.48438,-0.04688
0.17143,-0.67188,-0.35938
0.17143,-0.56250,-0.34375
0.17143,-0.14062,-0.14062
0.17143,-0.40625,0.06250
0.17143,-0.18750,-0.04688
0.17143,-0.25000,0.10938
0.17143,-0.29688,0.09375
0.17143,-0.26562,0.17188
0.17143,-0.26562,-0.18750
0.17143,-0.12500,0.00000
0.17143,-0.59375,0.25000
0.17143,-0.34375,0.01562
0.17143,-0.21875,0.20312
0.17143,-0.56250,0.28125
0.17143,-0.43750,0.07812
0.17143,-0.28125,0.12500
0.17143,-0.20312,0.14062
0.17143,-0.23438,-0.12500
0.17143,-0.28125,0.00000
0.17143,-0.39062,-0.09375
0.17143,-0.37500,0.21875
0.17143,-0.62500,-0.20312
0.17143,-0.42188,0.17188
0.17143,-0.39062,-0.07812
0.17143,-0.23438,0.03125
0.17143,-0.68750,0.35938
0.17143,-0.59375,-0.25000
0.17143,-0.18750,0.18750
0.17143,-0.62500,0.28125
0.17143,-0.18750,-0.03125
0.17143,-0.14062,0.01562
0.18163,-0.53125,0.06250
0.18163,-0.39062,0.26562
0.18163,-0.31250,0.04688
0.18163,-0.17188,0.06250
0.18163,-0.32812,0.18750
0.18163,-0.40625,0.21875
0.18163,-0.31250,0.10938
0.18163,-0.29688,0.15625
0.18163,-0.28125,-0.15625
0.18163,-0.32812,0.15625
0.18163,-0.76562,-0.26562
0.18163,-0.34375,0.26562
0.18163,-0.10938,-0.12500
0.18163,-0.31250,0.15625
0.18163,-0.37500,0.03125
0.18163,-0.45312,0.29688
0.18163,-0.34375,-0.01562
0.18163,-0.06250,0.14062
0.18163,-0.60938,0.37500
0.18163,-0.40625,-0.01562
0.18163,-0.43750,0.23438
0.18163,-0.09375,0.10938
0.18163,-0.67188,-0.39062
0.18163,-0.21875,0.03125
0.18163,-0.45312,-0.17188
0.18163,-0.40625,-0.17188
0.18163,-0.62500,-0.26562
0.18163,-0.56250,-0.21875
0.18163,-0.46875,0.00000
0.18163,-0.42188,0.17188
0.18163,-0.68750,-0.32812
0.18163,-0.34375,0.12500
0.18163,-0.51562,0.03125
0.18163,-0.17188,-0.07812
0.18163,-0.37500,0.12500
0.18163,-0.34375,-0.20312
0.18163,-0.60938,-0.29688
0.18163,-0.40625,0.15625
0.18163,-0.32812,0.09375
0.18163,-0.50000,-0.15625
0.18163,-0.60938,0.37500
0.18163,-0.53125,-0.14062
0.18163,-0.46875,-0.18750
0.18163,-0.40625,-0.15625
0.18163,-0.81250,0.37500
0.18163,-0.45312,0.17188
0.18163,-0.48438,0.14062
0.18163,-0.51562,0.01562
